ticker,sector
A,Healthcare
AA,Basic Materials
AAGIY,Financial Services
AAL,Industrials
AAP,Consumer Cyclical
AAPL,Technology
AATC,Technology
AAXJ,UNKNOWN
ABBV,Healthcare
ABCB,Financial Services
ABEV,Consumer Defensive
ABG,Consumer Cyclical
ABNB,Consumer Cyclical
ABNFX,UNKNOWN
ABT,Healthcare
ACAD,Healthcare
ACI,Consumer Defensive
ACN,Technology
ACSAY,Industrials
ADBE,Technology
ADC,Real Estate
ADDYY,Consumer Cyclical
ADI,Technology
ADP,Technology
ADSK,Technology
ADYEY,Technology
AEE,Utilities
AEG,Financial Services
AEIS,Industrials
AEP,Utilities
AER,Industrials
AES,Utilities
AFL,Financial Services
AFRM,Financial Services
AGCO,Industrials
AGESY,Financial Services
AGIO,Healthcare
AGNC,Real Estate
AGZ,UNKNOWN
AHCO,Healthcare
AHKSY,Industrials
AI,Technology
AIG,Financial Services
AIQUY,Basic Materials
AJG,Financial Services
AKAM,Technology
ALB,Basic Materials
ALC,Healthcare
ALFVY,Industrials
ALG,Industrials
ALGM,Technology
ALGN,Healthcare
ALGT,Industrials
ALIZY,Financial Services
ALK,Industrials
ALL,Financial Services
ALLE,Industrials
ALLY,Financial Services
ALNY,Healthcare
AM,Energy
AMAT,Technology
AMBR,Financial Services
AMC,Communication Services
AMD,Technology
AME,Industrials
AMGN,Healthcare
AMH,Real Estate
AMKBY,Industrials
AMLP,UNKNOWN
AMLX,Healthcare
AMN,Healthcare
AMP,Financial Services
AMRC,Industrials
AMSF,Financial Services
AMT,Real Estate
AMTM,Industrials
AMTX,Basic Materials
AMZA,UNKNOWN
AMZN,Consumer Cyclical
ANET,Technology
ANIK,Healthcare
ANTM,UNKNOWN
ANY,Financial Services
AON,Financial Services
AORT,Healthcare
APA,Energy
APAM,Financial Services
APD,Basic Materials
APH,Technology
APP,Communication Services
APPF,Technology
APTV,Consumer Cyclical
AR,Energy
ARCB,Industrials
ARCC,Financial Services
ARE,Real Estate
ARKG,UNKNOWN
ARKK,UNKNOWN
ARMK,Industrials
ARQT,Healthcare
ARW,Technology
ASAZY,Industrials
ASB,Financial Services
ASML,Technology
ATHM,Communication Services
ATLKY,Industrials
ATO,Utilities
ATRC,Healthcare
AVGO,Technology
AVNT,Basic Materials
AVTR,Healthcare
AVXL,Healthcare
AVY,Consumer Cyclical
AWK,Utilities
AXON,Industrials
AXP,Financial Services
AXSM,Healthcare
AXTA,Basic Materials
AYI,Industrials
AZN,Healthcare
AZO,Consumer Cyclical
AZTA,Healthcare
BA,Industrials
BABA,Consumer Cyclical
BAC,Financial Services
BAH,Industrials
BALL,Consumer Cyclical
BAP,Financial Services
BASFY,Basic Materials
BATRA,Communication Services
BATRK,Communication Services
BAX,Healthcare
BAYRY,Healthcare
BAYZF,Healthcare
BBEU,UNKNOWN
BBH,UNKNOWN
BBT,Financial Services
BBVA,Financial Services
BBY,Consumer Cyclical
BCE,Communication Services
BCRX,Healthcare
